,Post ID,Discussion Group,Author,Author Label,Topic,Body,Likes,Replies,Tags,Labels,Solution Link,Date,Time
0,346428,Prisma Access Insights Discussions,jdelio,Community Team Member,Have you heard? Prisma Access Insights,"Just a quick FYI, that a new application in the HUB has been released. It is called Prisma Access Insights, and it was created to help gain more information when it comes to Prisma Access Environment.Read all about it in my blog here. There are 3 videos in blog:Quick Tour of Prisma Access InsightsLogging into Prisma Access InsightsDetailed Demonstration of Prisma Access Insights Please feel free to discuss it here or on the blog.Stay Secure,Joe ",1,"
		0 REPLIES 0
",", Prisma Access Insights",", Prisma Access",,09-02-2020,10:20 AM
1,,Prisma Access Insights Discussions,,,,,,,,", Prisma Access",,,
