,Post ID,Discussion Group,Author,Author Label,Topic,Body,Likes,Replies,Tags,Labels,Solution Link,Date,Time
0,481445,Prisma Access for MSPs and Distributed Enterprises Discussions,tiazhang,L0 Member,How to Onboarding Prisma Access for MSP?,(view in My Videos),0,"
		0 REPLIES 0
",,,,04-20-2022,12:24 PM
1,,Prisma Access for MSPs and Distributed Enterprises Discussions,,,,,,,,,,,
2,479397,Prisma Access for MSPs and Distributed Enterprises Discussions,slohiya,L1 Bithead,Does the platform offer licensing flexibility?,"The MSP cloud management platform introduces flexible licensing, details of which can be found in the Admin Guide under the 'Licensing' section. This flexibility enables MSPs to deliver differentiated services to their customers. ",2,"
		0 REPLIES 0
",", msp, Prisma, prisma access, Prisma Access for MSPs, SASE",,,04-08-2022,02:12 PM
