,Post ID,Discussion Group,Author,Author Label,Topic,Body,Likes,Replies,Tags,Labels,Solution Link,Date,Time
0,503381,Configuration Wizard Discussion,ChirPatel,L2 Linker,How do i change the Palo Alto Internet Configuration from two ISP with 2 sets of Public IP Address range to single ISP with BGP,How do i change the Palo Alto Internet Configuration from two ISP with 2 sets of Public IP Address range to single ISP with BGP,0,"
		1 REPLY 1
",,,,06-14-2022,12:42 AM
1,485909,Configuration Wizard Discussion,blakeparker,L0 Member,TSF - File Upload Error,I am trying to upload a TSF to BPA+.  Every time I get the same error:  ,0,"
		3 REPLIES 3
",,,,05-09-2022,01:49 PM
2,480356,Configuration Wizard Discussion,SreeJaya,L0 Member,PMXDC,A Cotex XDR endpoint is failing to download the content update. Which setting is configured to fix the issue.,0,"
		0 REPLIES 0
",,,,04-14-2022,05:39 AM
3,477693,Configuration Wizard Discussion,vsharma1,L4 Transporter,How many BP checks are available in the current version of Best Practice Assessment Plus (BPA+)?,,0,"
		0 REPLIES 0
",", BPAPlus",,,04-01-2022,03:22 PM
